"domain","revenue_sum","total_conversions","valid_revenue_conversions"
"mopopfestival.com","41.82","1","1"
"www.dkgtrading.com","39.97","1","1"
"www.offeredby.net","38.98","1","1"
"enews.jimmyjazz.com","38.94","1","1"
"search.pch.com","37.02","1","1"
"www.evoamerica.com","35.97","1","1"
"speedial.com","34.98","1","1"
"email.medamerica.com","34.68","1","1"
"www.sneakerwatch.com","30.45","1","1"
"www.google.co.in","30","1","1"
"www.thegatewaypundit.com","29.97","1","1"
"nornet","26.69","1","1"
"www.searchlock.com","20.47","1","1"
"www.kwiktoolusa.com","17.47","1","1"
"blog.theanimalrescuesite.com","16.98","1","1"
"frontpage.pch.com","16.97","1","1"
"gunbot.net","8.26","1","1"
"www.vcdelivery.com","0","1","1"
